"LOCATION","TIME","Value"
"CAN","2007-01",4.121818
"CAN","2007-02",4.1175
"CAN","2007-03",4.045909
"CAN","2007-04",4.1715
"CAN","2007-05",4.292727
"CAN","2007-06",4.612857
"CAN","2007-07",4.59
"CAN","2007-08",4.428637
"CAN","2007-09",4.356316
"CAN","2007-10",4.362727
"CAN","2007-11",4.121428
"CAN","2007-12",4.01579
"CAN","2008-01",3.848182
"CAN","2008-02",3.828
"CAN","2008-03",3.509
"CAN","2008-04",3.628636
"CAN","2008-05",3.621428
"CAN","2008-06",3.76
"CAN","2008-07",3.750455
"CAN","2008-08",3.5915
"CAN","2008-09",3.540952
"CAN","2008-10",3.668182
"CAN","2008-11",3.571579
"CAN","2008-12",2.945714
"CAN","2009-01",2.812381
"CAN","2009-02",2.960526
"CAN","2009-03",2.885909
"CAN","2009-04",2.954286
"CAN","2009-05",3.202
"CAN","2009-06",3.459091
"CAN","2009-07",3.429091
"CAN","2009-08",3.4645
"CAN","2009-09",3.365714
"CAN","2009-10",3.425238
"CAN","2009-11",3.3925
"CAN","2009-12",3.41619
"CAN","2010-01",3.485
"CAN","2010-02",3.423684
"CAN","2010-03",3.490435
"CAN","2010-04",3.67
"CAN","2010-05",3.4455
"CAN","2010-06",3.297727
"CAN","2010-07",3.185238
"CAN","2010-08",2.949524
"CAN","2010-09",2.881428
"CAN","2010-10",2.766
"CAN","2010-11",3.022381
"CAN","2010-12",3.204762
"CAN","2011-01",3.253
"CAN","2011-02",3.417368
"CAN","2011-03",3.266522
"CAN","2011-04",3.328
"CAN","2011-05",3.151905
"CAN","2011-06",2.987727
"CAN","2011-07",2.9385
"CAN","2011-08",2.446364
"CAN","2011-09",2.196667
"CAN","2011-10",2.296
"CAN","2011-11",2.122381
"CAN","2011-12",1.992
"CAN","2012-01",1.98
"CAN","2012-02",2.021
"CAN","2012-03",2.106818
"CAN","2012-04",2.0645
"CAN","2012-05",1.922273
"CAN","2012-06",1.747619
"CAN","2012-07",1.656191
"CAN","2012-08",1.826818
"CAN","2012-09",1.837895
"CAN","2012-10",1.811818
"CAN","2012-11",1.738095
"CAN","2012-12",1.767895
"CAN","2013-01",1.931364
"CAN","2013-02",1.967895
"CAN","2013-03",1.8515
"CAN","2013-04",1.748636
"CAN","2013-05",1.901818
"CAN","2013-06",2.2445
"CAN","2013-07",2.438182
"CAN","2013-08",2.611428
"CAN","2013-09",2.698
"CAN","2013-10",2.518182
"CAN","2013-11",2.5585
"CAN","2013-12",2.6735
"CAN","2014-01",2.534091
"CAN","2014-02",2.42
"CAN","2014-03",2.454286
"CAN","2014-04",2.444762
"CAN","2014-05",2.315238
"CAN","2014-06",2.298571
"CAN","2014-07",2.194546
"CAN","2014-08",2.062
"CAN","2014-09",2.180952
"CAN","2014-10",2.010455
"CAN","2014-11",2.003158
"CAN","2014-12",1.851905
"CAN","2015-01",1.525714
"CAN","2015-02",1.379474
"CAN","2015-03",1.421364
"CAN","2015-04",1.410952
"CAN","2015-05",1.744
"CAN","2015-06",1.78
"CAN","2015-07",1.569546
"CAN","2015-08",1.3915
"CAN","2015-09",1.481429
"CAN","2015-10",1.463333
"CAN","2015-11",1.6335
"CAN","2015-12",1.459524
"CAN","2016-01",1.258
"CAN","2016-02",1.1245
"CAN","2016-03",1.268182
"CAN","2016-04",1.33619
"CAN","2016-05",1.35
"CAN","2016-06",1.168182
"CAN","2016-07",1.051
"CAN","2016-08",1.042727
"CAN","2016-09",1.08619
"CAN","2016-10",1.1665
"CAN","2016-11",1.437619
"CAN","2016-12",1.732
"CAN","2017-01",1.722381
"CAN","2017-02",1.702105
"CAN","2017-03",1.714348
"CAN","2017-04",1.523158
"CAN","2017-05",1.513182
"CAN","2017-06",1.502727
"CAN","2017-07",1.908
"CAN","2017-08",1.883636
"CAN","2017-09",2.0495
"CAN","2017-10",2.050952
"CAN","2017-11",1.918571
"CAN","2017-12",1.915263
"CAN","2018-01",2.198182
"CAN","2018-02",2.324211
"CAN","2018-03",2.188571
"CAN","2018-04",2.249048
"CAN","2018-05",2.375455
"CAN","2018-06",2.209048
"CAN","2018-07",2.187143
"CAN","2018-08",2.295455
"CAN","2018-09",2.353684
"CAN","2018-10",2.488636
"CAN","2018-11",2.407619
"CAN","2018-12",2.057895
"CAN","2019-01",1.953636
"CAN","2019-02",1.907368
"CAN","2019-03",1.712381
"CAN","2019-04",1.724286
"CAN","2019-05",1.664545
"CAN","2019-06",1.4625
"CAN","2019-07",1.519091
"CAN","2019-08",1.205238
"CAN","2019-09",1.364
"CAN","2019-10",1.449546
"CAN","2019-11",1.4995
"CAN","2019-12",1.6045
"CAN","2020-01",1.492273
"CAN","2020-02",1.294737
"CAN","2020-03",0.8190909
"CAN","2020-04",0.6571429
"CAN","2020-05",0.551
"CAN","2020-06",0.5613636
"CAN","2020-07",0.5163636
"CAN","2020-08",0.5635
"CAN","2020-09",0.5595238
"CAN","2020-10",0.6028572
"CAN","2020-11",0.6885
"CAN","2020-12",0.7309524
"CAN","2021-01",0.8055
"CAN","2021-02",1.099474
"CAN","2021-03",1.496522
"CAN","2021-04",1.516191
"CAN","2021-05",1.524
"CAN","2021-06",1.425
"CAN","2021-07",1.251429
"CAN","2021-08",1.191905
"CAN","2021-09",1.263
"CAN","2021-10",1.597
"CAN","2021-11",1.685714
"CAN","2021-12",1.45
"CAN","2022-01",1.759
"CAN","2022-02",1.879474
"CAN","2022-03",2.132174
"CAN","2022-04",2.704
"CAN","2022-05",2.918571
"CAN","2022-06",3.315454
"CAN","2022-07",3.0215
"CAN","2022-08",2.859091
"CAN","2022-09",3.1455
"CAN","2022-10",3.3805
"CAN","2022-11",3.16619
"CAN","2022-12",2.9415
"CAN","2023-01",2.937619
"CAN","2023-02",3.174211
"CAN","2023-03",2.997727
"ITA","2007-01",4.2628
"ITA","2007-02",4.28009
"ITA","2007-03",4.17622
"ITA","2007-04",4.37021
"ITA","2007-05",4.48971
"ITA","2007-06",4.77197
"ITA","2007-07",4.76033
"ITA","2007-08",4.58355
"ITA","2007-09",4.57357
"ITA","2007-10",4.59088
"ITA","2007-11",4.44929
"ITA","2007-12",4.53849
"ITA","2008-01",4.39891
"ITA","2008-02",4.35443
"ITA","2008-03",4.37747
"ITA","2008-04",4.53189
"ITA","2008-05",4.70282
"ITA","2008-06",5.10565
"ITA","2008-07",5.09463
"ITA","2008-08",4.81387
"ITA","2008-09",4.8041
"ITA","2008-10",4.78
"ITA","2008-11",4.74252
"ITA","2008-12",4.46882
"ITA","2009-01",4.62129
"ITA","2009-02",4.53581
"ITA","2009-03",4.45835
"ITA","2009-04",4.35597
"ITA","2009-05",4.41509
"ITA","2009-06",4.60624
"ITA","2009-07",4.37291
"ITA","2009-08",4.11556
"ITA","2009-09",4.08809
"ITA","2009-10",4.10144
"ITA","2009-11",4.05652
"ITA","2009-12",4.00728
"ITA","2010-01",4.07788
"ITA","2010-02",4.04712
"ITA","2010-03",3.94527
"ITA","2010-04",3.99558
"ITA","2010-05",3.98492
"ITA","2010-06",4.1022
"ITA","2010-07",4.02583
"ITA","2010-08",3.80208
"ITA","2010-09",3.86227
"ITA","2010-10",3.80021
"ITA","2010-11",4.18408
"ITA","2010-12",4.603
"ITA","2011-01",4.72908
"ITA","2011-02",4.73561
"ITA","2011-03",4.87539
"ITA","2011-04",4.84077
"ITA","2011-05",4.75615
"ITA","2011-06",4.81559
"ITA","2011-07",5.46328
"ITA","2011-08",5.27054
"ITA","2011-09",5.7457
"ITA","2011-10",5.9719
"ITA","2011-11",7.05709
"ITA","2011-12",6.81193
"ITA","2012-01",6.5366
"ITA","2012-02",5.54646
"ITA","2012-03",5.04876
"ITA","2012-04",5.67583
"ITA","2012-05",5.78334
"ITA","2012-06",5.90366
"ITA","2012-07",5.99562
"ITA","2012-08",5.82165
"ITA","2012-09",5.2543
"ITA","2012-10",4.95287
"ITA","2012-11",4.85144
"ITA","2012-12",4.54158
"ITA","2013-01",4.20769
"ITA","2013-02",4.4929
"ITA","2013-03",4.64036
"ITA","2013-04",4.27767
"ITA","2013-05",3.96398
"ITA","2013-06",4.37887
"ITA","2013-07",4.41831
"ITA","2013-08",4.41911
"ITA","2013-09",4.54105
"ITA","2013-10",4.24765
"ITA","2013-11",4.09506
"ITA","2013-12",4.11398
"ITA","2014-01",3.86587
"ITA","2014-02",3.65119
"ITA","2014-03",3.39943
"ITA","2014-04",3.22823
"ITA","2014-05",3.12329
"ITA","2014-06",2.91968
"ITA","2014-07",2.79361
"ITA","2014-08",2.6327
"ITA","2014-09",2.40013
"ITA","2014-10",2.4239
"ITA","2014-11",2.29036
"ITA","2014-12",1.9898
"ITA","2015-01",1.70214
"ITA","2015-02",1.55683
"ITA","2015-03",1.29423
"ITA","2015-04",1.3574
"ITA","2015-05",1.81211
"ITA","2015-06",2.19919
"ITA","2015-07",2.04214
"ITA","2015-08",1.83856
"ITA","2015-09",1.92014
"ITA","2015-10",1.69606
"ITA","2015-11",1.57018
"ITA","2015-12",1.57864
"ITA","2016-01",1.5343
"ITA","2016-02",1.5585
"ITA","2016-03",1.37516
"ITA","2016-04",1.44177
"ITA","2016-05",1.52632
"ITA","2016-06",1.45346
"ITA","2016-07",1.22722
"ITA","2016-08",1.17635
"ITA","2016-09",1.26606
"ITA","2016-10",1.45047
"ITA","2016-11",1.94278
"ITA","2016-12",1.88618
"ITA","2017-01",1.99107
"ITA","2017-02",2.35192
"ITA","2017-03",2.40073
"ITA","2017-04",2.25705
"ITA","2017-05",2.19402
"ITA","2017-06",2.05337
"ITA","2017-07",2.23141
"ITA","2017-08",2.10986
"ITA","2017-09",2.10949
"ITA","2017-10",2.07385
"ITA","2017-11",1.78885
"ITA","2017-12",1.79452
"ITA","2018-01",1.98419
"ITA","2018-02",2.08078
"ITA","2018-03",1.96547
"ITA","2018-04",1.77335
"ITA","2018-05",2.17969
"ITA","2018-06",2.74417
"ITA","2018-07",2.64298
"ITA","2018-08",3.16096
"ITA","2018-09",2.9585
"ITA","2018-10",3.46884
"ITA","2018-11",3.39008
"ITA","2018-12",2.97513
"ITA","2019-01",2.77011
"ITA","2019-02",2.81241
"ITA","2019-03",2.68985
"ITA","2019-04",2.61756
"ITA","2019-05",2.64404
"ITA","2019-06",2.28374
"ITA","2019-07",1.6539
"ITA","2019-08",1.40365
"ITA","2019-09",0.90208
"ITA","2019-10",1.00355
"ITA","2019-11",1.26594
"ITA","2019-12",1.37011
"ITA","2020-01",1.27499
"ITA","2020-02",0.9555
"ITA","2020-03",1.55118
"ITA","2020-04",1.79913
"ITA","2020-05",1.76204
"ITA","2020-06",1.4552
"ITA","2020-07",1.19629
"ITA","2020-08",1.03189
"ITA","2020-09",0.98121
"ITA","2020-10",0.77007
"ITA","2020-11",0.66399
"ITA","2020-12",0.57801
"ITA","2021-01",0.61566
"ITA","2021-02",0.59041
"ITA","2021-03",0.70399
"ITA","2021-04",0.79727
"ITA","2021-05",0.98446
"ITA","2021-06",0.875
"ITA","2021-07",0.7477
"ITA","2021-08",0.628
"ITA","2021-09",0.7766
"ITA","2021-10",0.95487
"ITA","2021-11",1.009
"ITA","2021-12",1.047
"ITA","2022-01",1.346
"ITA","2022-02",1.794
"ITA","2022-03",1.8538
"ITA","2022-04",2.436
"ITA","2022-05",2.9898
"ITA","2022-06",3.634697
"ITA","2022-07",3.358788
"ITA","2022-08",3.297
"ITA","2022-09",4.138
"ITA","2022-10",4.532
"ITA","2022-11",4.24251
"ITA","2022-12",4.257
"ITA","2023-01",4.24278
"ITA","2023-02",4.27
"FRA","2007-01",4.0694
"FRA","2007-02",4.096
"FRA","2007-03",3.9968
"FRA","2007-04",4.2079
"FRA","2007-05",4.3368
"FRA","2007-06",4.619
"FRA","2007-07",4.5829
"FRA","2007-08",4.3889
"FRA","2007-09",4.3567
"FRA","2007-10",4.4022
"FRA","2007-11",4.2277
"FRA","2007-12",4.3541
"FRA","2008-01",4.15
"FRA","2008-02",4.0792
"FRA","2008-03",4.0194
"FRA","2008-04",4.2699
"FRA","2008-05",4.4059
"FRA","2008-06",4.7337
"FRA","2008-07",4.6903
"FRA","2008-08",4.4018
"FRA","2008-09",4.3619
"FRA","2008-10",4.1836
"FRA","2008-11",3.9767
"FRA","2008-12",3.5395
"FRA","2009-01",3.6016
"FRA","2009-02",3.6781
"FRA","2009-03",3.6474
"FRA","2009-04",3.6591
"FRA","2009-05",3.8045
"FRA","2009-06",3.8997
"FRA","2009-07",3.7329
"FRA","2009-08",3.5874
"FRA","2009-09",3.5869
"FRA","2009-10",3.5579
"FRA","2009-11",3.5552
"FRA","2009-12",3.4751
"FRA","2010-01",3.5157
"FRA","2010-02",3.4981
"FRA","2010-03",3.4374
"FRA","2010-04",3.4016
"FRA","2010-05",3.0757
"FRA","2010-06",3.0732
"FRA","2010-07",2.988
"FRA","2010-08",2.6785
"FRA","2010-09",2.6783
"FRA","2010-10",2.7187
"FRA","2010-11",2.9974
"FRA","2010-12",3.3416
"FRA","2011-01",3.4429
"FRA","2011-02",3.6033
"FRA","2011-03",3.6096
"FRA","2011-04",3.69
"FRA","2011-05",3.4892
"FRA","2011-06",3.4305
"FRA","2011-07",3.3994
"FRA","2011-08",2.9845
"FRA","2011-09",2.6444
"FRA","2011-10",2.9925
"FRA","2011-11",3.4075
"FRA","2011-12",3.1589
"FRA","2012-01",3.1797
"FRA","2012-02",3.0158
"FRA","2012-03",2.9542
"FRA","2012-04",2.9935
"FRA","2012-05",2.7518
"FRA","2012-06",2.5694
"FRA","2012-07",2.2752
"FRA","2012-08",2.1194
"FRA","2012-09",2.2372
"FRA","2012-10",2.1857
"FRA","2012-11",2.1397
"FRA","2012-12",2.0103
"FRA","2013-01",2.1652
"FRA","2013-02",2.2446
"FRA","2013-03",2.071
"FRA","2013-04",1.8028
"FRA","2013-05",1.8728
"FRA","2013-06",2.2107
"FRA","2013-07",2.2468
"FRA","2013-08",2.3624
"FRA","2013-09",2.4858
"FRA","2013-10",2.3943
"FRA","2013-11",2.265
"FRA","2013-12",2.3308
"FRA","2014-01",2.3841
"FRA","2014-02",2.2527
"FRA","2014-03",2.1519
"FRA","2014-04",2.0257
"FRA","2014-05",1.8384
"FRA","2014-06",1.7119
"FRA","2014-07",1.559
"FRA","2014-08",1.4064
"FRA","2014-09",1.3508
"FRA","2014-10",1.2598
"FRA","2014-11",1.1358
"FRA","2014-12",0.9208
"FRA","2015-01",0.6741
"FRA","2015-02",0.5968
"FRA","2015-03",0.5093
"FRA","2015-04",0.435
"FRA","2015-05",0.8888
"FRA","2015-06",1.1955
"FRA","2015-07",1.1136
"FRA","2015-08",1.0051
"FRA","2015-09",1.0046
"FRA","2015-10",0.8652
"FRA","2015-11",0.8831
"FRA","2015-12",0.9312
"FRA","2016-01",0.8428
"FRA","2016-02",0.5923
"FRA","2016-03",0.5093
"FRA","2016-04",0.5142
"FRA","2016-05",0.5095
"FRA","2016-06",0.39
"FRA","2016-07",0.1714
"FRA","2016-08",0.1534
"FRA","2016-09",0.1837
"FRA","2016-10",0.3309
"FRA","2016-11",0.6673
"FRA","2016-12",0.7498
"FRA","2017-01",0.8631
"FRA","2017-02",1.0307
"FRA","2017-03",1.0216
"FRA","2017-04",0.8836
"FRA","2017-05",0.8057
"FRA","2017-06",0.6641
"FRA","2017-07",0.8359
"FRA","2017-08",0.7107
"FRA","2017-09",0.699
"FRA","2017-10",0.812
"FRA","2017-11",0.7171
"FRA","2017-12",0.6748
"FRA","2018-01",0.859
"FRA","2018-02",0.9818
"FRA","2018-03",0.8352
"FRA","2018-04",0.7784
"FRA","2018-05",0.781
"FRA","2018-06",0.754
"FRA","2018-07",0.6653
"FRA","2018-08",0.7045
"FRA","2018-09",0.7658
"FRA","2018-10",0.8229
"FRA","2018-11",0.763
"FRA","2018-12",0.6984
"FRA","2019-01",0.6456
"FRA","2019-02",0.5498
"FRA","2019-03",0.437
"FRA","2019-04",0.3718
"FRA","2019-05",0.3045
"FRA","2019-06",0.0791
"FRA","2019-07",-0.069
"FRA","2019-08",-0.3391
"FRA","2019-09",-0.2757
"FRA","2019-10",-0.1574
"FRA","2019-11",-0.0204
"FRA","2019-12",0.0362
"FRA","2020-01",-0.007
"FRA","2020-02",-0.1772
"FRA","2020-03",-0.0584
"FRA","2020-04",0.0578
"FRA","2020-05",-0.0301
"FRA","2020-06",-0.044
"FRA","2020-07",-0.1478
"FRA","2020-08",-0.1713
"FRA","2020-09",-0.2072
"FRA","2020-10",-0.2966
"FRA","2020-11",-0.3262
"FRA","2020-12",-0.3352
"FRA","2021-01",-0.3052
"FRA","2021-02",-0.1504
"FRA","2021-03",-0.0701
"FRA","2021-04",-0.0056
"FRA","2021-05",0.2068
"FRA","2021-06",0.153
"FRA","2021-07",-0.0058
"FRA","2021-08",-0.1143
"FRA","2021-09",0.04
"FRA","2021-10",0.2
"FRA","2021-11",0.09
"FRA","2021-12",0.05
"FRA","2022-01",0.31
"FRA","2022-02",0.68
"FRA","2022-03",0.78
"FRA","2022-04",1.28
"FRA","2022-05",1.52
"FRA","2022-06",2.06
"FRA","2022-07",1.71
"FRA","2022-08",1.69
"FRA","2022-09",2.41
"FRA","2022-10",2.77
"FRA","2022-11",2.58
"FRA","2022-12",2.62
"FRA","2023-01",2.69
"FRA","2023-02",2.87
"FRA","2023-03",2.92
"ZAF","2007-01",7.636818
"ZAF","2007-02",7.518
"ZAF","2007-03",7.591905
"ZAF","2007-04",7.642222
"ZAF","2007-05",7.59
"ZAF","2007-06",8.090952
"ZAF","2007-07",8.338636
"ZAF","2007-08",8.379545
"ZAF","2007-09",8.43
"ZAF","2007-10",8.117392
"ZAF","2007-11",8.187273
"ZAF","2007-12",8.328823
"ZAF","2008-01",8.345454
"ZAF","2008-02",8.7
"ZAF","2008-03",9.162632
"ZAF","2008-04",9.16381
"ZAF","2008-05",9.508
"ZAF","2008-06",10.3465
"ZAF","2008-07",10.12304
"ZAF","2008-08",9.197143
"ZAF","2008-09",9.051
"ZAF","2008-10",9.175218
"ZAF","2008-11",8.6065
"ZAF","2008-12",7.7135
"ZAF","2009-01",7.803
"ZAF","2009-02",8.2355
"ZAF","2009-03",8.385909
"ZAF","2009-04",8.547778
"ZAF","2009-05",8.7005
"ZAF","2009-06",8.87619
"ZAF","2009-07",9.106522
"ZAF","2009-08",8.7905
"ZAF","2009-09",8.702
"ZAF","2009-10",9.095
"ZAF","2009-11",9.016191
"ZAF","2009-12",9.035238
"ZAF","2010-01",9.227
"ZAF","2010-02",9.1145
"ZAF","2010-03",8.937273
"ZAF","2010-04",8.75579
"ZAF","2010-05",8.935238
"ZAF","2010-06",8.975238
"ZAF","2010-07",8.805
"ZAF","2010-08",8.185238
"ZAF","2010-09",7.915238
"ZAF","2010-10",8.028095
"ZAF","2010-11",8.115909
"ZAF","2010-12",8.390476
"ZAF","2011-01",8.476191
"ZAF","2011-02",8.7015
"ZAF","2011-03",8.946363
"ZAF","2011-04",8.725
"ZAF","2011-05",8.56
"ZAF","2011-06",8.499047
"ZAF","2011-07",8.540057
"ZAF","2011-08",8.123636
"ZAF","2011-09",8.220909
"ZAF","2011-10",8.41
"ZAF","2011-11",8.45
"ZAF","2011-12",8.516315
"ZAF","2012-01",8.439048
"ZAF","2012-02",8.217619
"ZAF","2012-03",8.368571
"ZAF","2012-04",8.289444
"ZAF","2012-05",8.288
"ZAF","2012-06",8.176666
"ZAF","2012-07",7.555
"ZAF","2012-08",7.465455
"ZAF","2012-09",7.39421
"ZAF","2012-10",7.666087
"ZAF","2012-11",7.631818
"ZAF","2012-12",7.341667
"ZAF","2013-01",7.253182
"ZAF","2013-02",7.2795
"ZAF","2013-03",7.397368
"ZAF","2013-04",6.997143
"ZAF","2013-05",6.903636
"ZAF","2013-06",7.952631
"ZAF","2013-07",7.97087
"ZAF","2013-08",8.364762
"ZAF","2013-09",8.1695
"ZAF","2013-10",7.894783
"ZAF","2013-11",8.183333
"ZAF","2013-12",8.268421
"ZAF","2014-01",8.406818
"ZAF","2014-02",8.6635
"ZAF","2014-03",8.52
"ZAF","2014-04",8.415263
"ZAF","2014-05",8.16
"ZAF","2014-06",8.331
"ZAF","2014-07",8.255652
"ZAF","2014-08",8.230476
"ZAF","2014-09",8.152857
"ZAF","2014-10",8.062174
"ZAF","2014-11",7.846
"ZAF","2014-12",7.8825
"ZAF","2015-01",7.464762
"ZAF","2015-02",7.49
"ZAF","2015-03",7.808182
"ZAF","2015-04",7.823158
"ZAF","2015-05",8.0725
"ZAF","2015-06",8.326667
"ZAF","2015-07",8.182174
"ZAF","2015-08",8.2635
"ZAF","2015-09",8.460476
"ZAF","2015-10",8.273637
"ZAF","2015-11",8.490952
"ZAF","2015-12",9.25381
"ZAF","2016-01",9.6315
"ZAF","2016-02",9.221905
"ZAF","2016-03",9.266
"ZAF","2016-04",9.067
"ZAF","2016-05",9.289047
"ZAF","2016-06",9.062857
"ZAF","2016-07",8.729048
"ZAF","2016-08",8.633333
"ZAF","2016-09",8.675
"ZAF","2016-10",8.768095
"ZAF","2016-11",8.904091
"ZAF","2016-12",8.95421
"ZAF","2017-01",8.765238
"ZAF","2017-02",8.7525
"ZAF","2017-03",8.615909
"ZAF","2017-04",8.831177
"ZAF","2017-05",8.650909
"ZAF","2017-06",9.020952
"ZAF","2017-07",9.240952
"ZAF","2017-08",9.117272
"ZAF","2017-09",9.025
"ZAF","2017-10",9.357727
"ZAF","2017-11",9.770909
"ZAF","2017-12",9.499474
"ZAF","2018-01",9.076
"ZAF","2018-02",8.746
"ZAF","2018-03",8.497
"ZAF","2018-04",8.48
"ZAF","2018-05",8.826818
"ZAF","2018-06",9.297143
"ZAF","2018-07",9.091818
"ZAF","2018-08",9.28091
"ZAF","2018-09",9.526316
"ZAF","2018-10",9.623913
"ZAF","2018-11",9.55
"ZAF","2018-12",9.535
"ZAF","2019-01",9.296364
"ZAF","2019-02",9.261
"ZAF","2019-03",9.2375
"ZAF","2019-04",9.063
"ZAF","2019-05",9.102381
"ZAF","2019-06",9.026316
"ZAF","2019-07",8.780313
"ZAF","2019-08",9.030952
"ZAF","2019-09",8.8935
"ZAF","2019-10",8.927391
"ZAF","2019-11",9.134286
"ZAF","2019-12",9.117895
"ZAF","2020-01",9.016818
"ZAF","2020-02",8.935
"ZAF","2020-03",10.85201
"ZAF","2020-04",11.23263
"ZAF","2020-05",10.074
"ZAF","2020-06",9.958096
"ZAF","2020-07",10.26522
"ZAF","2020-08",10.1865
"ZAF","2020-09",10.21571
"ZAF","2020-10",10.38864
"ZAF","2020-11",9.965239
"ZAF","2020-12",9.789047
"ZAF","2021-01",9.7115
"ZAF","2021-02",9.5045
"ZAF","2021-03",10.08773
"ZAF","2021-04",10.02895
"ZAF","2021-05",9.816667
"ZAF","2021-06",9.526667
"ZAF","2021-07",9.623636
"ZAF","2021-08",9.567619
"ZAF","2021-09",9.624286
"ZAF","2021-10",10.06476
"ZAF","2021-11",10.02
"ZAF","2021-12",9.900476
"ZAF","2022-01",9.83
"ZAF","2022-02",9.6515
"ZAF","2022-03",10.09636
"ZAF","2022-04",10.11167
"ZAF","2022-05",10.32286
"ZAF","2022-06",10.93524
"ZAF","2022-07",11.42333
"ZAF","2022-08",10.92409
"ZAF","2022-09",11.24909
"ZAF","2022-10",11.63048
"ZAF","2022-11",11.27955
"ZAF","2022-12",11.38368
"ZAF","2023-01",10.97286
"ZAF","2023-02",11.046
"ZAF","2023-03",11.19409
"USA","2007-01",4.76
"USA","2007-02",4.72
"USA","2007-03",4.56
"USA","2007-04",4.69
"USA","2007-05",4.75
"USA","2007-06",5.1
"USA","2007-07",5
"USA","2007-08",4.67
"USA","2007-09",4.52
"USA","2007-10",4.53
"USA","2007-11",4.15
"USA","2007-12",4.1
"USA","2008-01",3.74
